#  140 | steps: 34236 | steps_t: 19368 | t: 1737.043338 | r: -2040.000000 | e:   0.612640 | Q: 199.295715 | won: False
Blue team starts
GAME IS OVER
#  141 | steps: 34537 | steps_t: 19628 | t: 1758.665188 | r:  2140.000000 | e:   0.607440 | Q: 357.011810 | won: True
Blue team starts
GAME IS OVER
#  142 | steps: 34833 | steps_t: 19868 | t: 1781.370363 | r: -2870.000000 | e:   0.602640 | Q: 313.454071 | won: False
Blue team starts
GAME IS OVER
#  143 | steps: 35005 | steps_t: 19998 | t: 1791.849759 | r: -1150.000000 | e:   0.600040 | Q: 358.133179 | won: False
Red team starts
GAME IS OVER
#  144 | steps: 35306 | steps_t: 20249 | t: 1811.459254 | r:  1950.000000 | e:   0.595020 | Q: 304.185120 | won: True
Blue team starts
GAME IS OVER
#  145 | steps: 35475 | steps_t: 20376 | t: 1822.209543 | r: -2990.000000 | e:   0.592480 | Q: 122.741798 | won: False
Blue team starts
GAME IS OVER
#  146 | steps: 35690 | steps_t: 20541 | t: 1836.963554 | r: -2260.000000 | e:   0.589180 | Q: 224.761108 | won: False
Red team starts
GAME IS OVER
#  147 | steps: 35991 | steps_t: 20800 | t: 1858.227157 | r:  1540.000000 | e:   0.584000 | Q: 394.428650 | won: True
Blue team starts
GAME IS OVER
#  148 | steps: 36292 | steps_t: 21047 | t: 1878.568913 | r:  1620.000000 | e:   0.579060 | Q: 375.604767 | won: True
Blue team starts
GAME IS OVER
#  149 | steps: 36593 | steps_t: 21307 | t: 1899.048340 | r:  2710.000000 | e:   0.573860 | Q: 476.743347 | won: True
Blue team starts
GAME IS OVER
#  150 | steps: 36894 | steps_t: 21553 | t: 1919.522552 | r:   920.000000 | e:   0.568940 | Q: 437.868835 | won: True
Blue team starts
GAME IS OVER
#  151 | steps: 37178 | steps_t: 21796 | t: 1939.540062 | r:  -850.000000 | e:   0.564080 | Q: 244.286163 | won: False
Red team starts
GAME IS OVER
#  152 | steps: 37350 | steps_t: 21927 | t: 1949.493910 | r: -1200.000000 | e:   0.561460 | Q: 239.825516 | won: False
Blue team starts
GAME IS OVER
#  153 | steps: 37520 | steps_t: 22056 | t: 1960.797762 | r: -1240.000000 | e:   0.558880 | Q: 134.179810 | won: False
Blue team starts
GAME IS OVER
#  154 | steps: 37736 | steps_t: 22217 | t: 1974.149237 | r: -4130.000000 | e:   0.555660 | Q: 157.577271 | won: False
Red team starts
GAME IS OVER
#  155 | steps: 38037 | steps_t: 22464 | t: 1993.631150 | r:  2270.000000 | e:   0.550720 | Q: 300.067932 | won: True
Blue team starts
GAME IS OVER
#  156 | steps: 38338 | steps_t: 22723 | t: 2014.618788 | r:  3690.000000 | e:   0.545540 | Q: 203.157883 | won: True
Blue team starts
GAME IS OVER
#  157 | steps: 38555 | steps_t: 22889 | t: 2028.839588 | r: -1720.000000 | e:   0.542220 | Q: 166.385254 | won: False
Red team starts
GAME IS OVER
#  158 | steps: 38771 | steps_t: 23049 | t: 2042.306298 | r: -3670.000000 | e:   0.539020 | Q: 174.604904 | won: False
Blue team starts
GAME IS OVER
#  159 | steps: 39023 | steps_t: 23259 | t: 2058.690778 | r: -2800.000000 | e:   0.534820 | Q: 300.660858 | won: False
Red team starts
GAME IS OVER
#  160 | steps: 39238 | steps_t: 23424 | t: 2071.598354 | r: -2280.000000 | e:   0.531520 | Q: 338.276947 | won: False
Red team starts
GAME IS OVER
#  161 | steps: 39454 | steps_t: 23584 | t: 2084.180859 | r: -2980.000000 | e:   0.528320 | Q: 219.258270 | won: False
Blue team starts
GAME IS OVER
#  162 | steps: 39674 | steps_t: 23750 | t: 2097.240560 | r: -4870.000000 | e:   0.525000 | Q: 178.956772 | won: False
Red team starts
GAME IS OVER
#  163 | steps: 39889 | steps_t: 23914 | t: 2111.863852 | r: -1510.000000 | e:   0.521720 | Q: 386.178284 | won: False
Red team starts
Model saved
GAME IS OVER
#  164 | steps: 40057 | steps_t: 24040 | t: 2122.705803 | r: -1400.000000 | e:   0.519200 | Q: 298.198883 | won: False
Red team starts
GAME IS OVER
#  165 | steps: 40225 | steps_t: 24163 | t: 2131.513422 | r: -1150.000000 | e:   0.516740 | Q: 214.023041 | won: False
Blue team starts
GAME IS OVER
#  166 | steps: 40526 | steps_t: 24413 | t: 2152.124284 | r:  1840.000000 | e:   0.511740 | Q: 383.407532 | won: True
Red team starts
GAME IS OVER
#  167 | steps: 40742 | steps_t: 24574 | t: 2165.782977 | r: -1180.000000 | e:   0.508520 | Q: 261.388153 | won: False
Red team starts
GAME IS OVER
#  168 | steps: 41043 | steps_t: 24820 | t: 2186.959450 | r: -1690.000000 | e:   0.503600 | Q: 269.096954 | won: True
Blue team starts
GAME IS OVER
#  169 | steps: 41259 | steps_t: 24982 | t: 2198.953080 | r: -2120.000000 | e:   0.500360 | Q: 236.214813 | won: False
Blue team starts
GAME IS OVER
#  170 | steps: 41475 | steps_t: 25144 | t: 2214.843092 | r: -4850.000000 | e:   0.497120 | Q: 161.714233 | won: False
Red team starts
GAME IS OVER
#  171 | steps: 41645 | steps_t: 25272 | t: 2224.957249 | r: -1230.000000 | e:   0.494560 | Q: 160.314667 | won: False
Red team starts
GAME IS OVER
#  172 | steps: 41865 | steps_t: 25436 | t: 2240.594787 | r: -3040.000000 | e:   0.491280 | Q: 187.206863 | won: False
Red team starts
GAME IS OVER
